time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-09-29T14:59:58.270Z,37.6675,-118.8691667,2.68,0.15,md,7,170,0.03166,0.05,nc,nc72532616,2015-09-29T20:17:04.020Z,"9km ENE of Mammoth Lakes, California",earthquake
2015-09-29T14:53:26.810Z,36.5688333,-121.1351667,10.06,2.67,md,65,55,0.04462,0.08,nc,nc72532611,2015-09-29T22:36:05.147Z,"23km NE of Soledad, California",earthquake
2015-09-29T14:49:16.000Z,51.4256,-176.1826,18.7,2.2,ml,,,,0.32,ak,ak11726343,2015-09-29T17:21:59.156Z,"60km SSE of Adak, Alaska",earthquake
2015-09-29T14:48:23.000Z,61.5944,-150.1937,39.8,2.1,ml,,,,0.47,ak,ak11726340,2015-09-29T15:08:18.665Z,"15km WNW of Big Lake, Alaska",earthquake
2015-09-29T14:45:16.690Z,-13.7253,167.2383,136.02,4.8,mb,,85,1.712,0.8,us,us10003iv6,2015-09-29T22:47:51.486Z,"37km WNW of Sola, Vanuatu",earthquake
2015-09-29T14:39:13.970Z,2.0094,127.3306,100.79,4.9,mb,,41,1.229,0.88,us,us10003iv4,2015-09-29T22:41:55.974Z,"81km WNW of Tobelo, Indonesia",earthquake
2015-09-29T14:35:40.531Z,38.029,-118.9844,8,0.5,ml,7,135.6,0.157,0.1052,nn,nn00512792,2015-09-29T16:30:25.380Z,"33km SE of Bridgeport, California",earthquake
2015-09-29T14:30:34.000Z,61.7798,-147.3133,48.3,1.7,ml,,,,0.43,ak,ak11726338,2015-09-29T14:46:47.578Z,"81km E of Sutton-Alpine, Alaska",earthquake
2015-09-29T14:27:31.490Z,32.9668333,-115.5658333,8.78,1.85,ml,22,70,0.06533,0.12,ci,ci37250999,2015-09-30T00:05:21.870Z,"4km WSW of Brawley, California",earthquake
2015-09-29T14:04:47.920Z,34.182,-117.4171667,10.17,0.98,ml,24,61,0.07347,0.26,ci,ci37250975,2015-09-29T17:04:23.708Z,"5km SSW of Devore, California",earthquake
2015-09-29T14:03:28.030Z,-5.9121,131.8264,50.22,4.7,mb,,87,2.122,0.41,us,us10003iup,2015-09-29T22:06:01.004Z,"105km WSW of Tual, Indonesia",earthquake
2015-09-29T13:43:11.460Z,36.5656662,-121.1340027,9.56,1.56,md,8,128,0.04608,0.02,nc,nc72532591,2015-09-29T13:44:45.740Z,"23km NE of Soledad, California",earthquake
2015-09-29T13:42:45.530Z,-33.007,-72.1425,21.23,4.7,mb,,80,0.424,0.68,us,us10003it2,2015-09-29T15:59:08.595Z,"48km W of Valparaiso, Chile",earthquake
2015-09-29T13:39:42.430Z,33.6466667,-116.7513333,11.95,0.96,ml,40,48,0.0539,0.17,ci,ci37250959,2015-09-29T17:06:02.320Z,"11km SSW of Idyllwild, California",earthquake
2015-09-29T13:38:26.610Z,48.235,-121.7506667,14.884,0.44,md,5,146,0.1247,0.12,uw,uw61071632,2015-09-29T22:54:14.800Z,"11km WSW of Darrington, Washington",earthquake
2015-09-29T13:34:47.240Z,33.4925,-116.4326667,14.4,0.88,ml,27,112,0.03136,0.15,ci,ci37250951,2015-09-29T17:06:16.280Z,"22km SSW of La Quinta, California",earthquake
2015-09-29T13:30:07.000Z,63.1019,-151.6473,0.2,1.4,ml,,,,0.5,ak,ak11726337,2015-09-29T13:43:02.160Z,"117km NW of Talkeetna, Alaska",earthquake
2015-09-29T13:26:02.130Z,37.5621667,-118.493,12.25,1.54,md,24,114,0.0419,0.06,nc,nc72532581,2015-09-29T20:11:02.710Z,"20km NNW of Dixon Lane-Meadow Creek, California",earthquake
2015-09-29T13:20:20.590Z,-33.0078,-72.1484,19.77,4.1,mb,,182,0.429,0.7,us,us10003irp,2015-09-29T15:32:53.400Z,"48km W of Valparaiso, Chile",earthquake
2015-09-29T13:06:05.010Z,39.7383333,-111.228,-3.38,1.36,md,11,80,0.1,0.27,uu,uu60124987,2015-09-29T16:46:41.440Z,"22km NE of Fairview, Utah",earthquake
2015-09-29T12:41:28.230Z,13.8503,-58.2189,10,4.5,mb,,213,1.48,1.27,us,us10003irj,2015-09-29T20:44:02.701Z,"157km ENE of Bathsheba, Barbados",earthquake
2015-09-29T12:40:00.590Z,36.5915,-98.2173,5,3.1,mb_lg,,80,0.207,0.31,us,us10003irh,2015-09-29T20:42:38.963Z,"6km NE of Helena, Oklahoma",earthquake
2015-09-29T12:39:43.000Z,35.9931667,-117.375,2.73,0.86,ml,11,77,0.1128,0.16,ci,ci37250935,2015-09-29T19:48:08.521Z,"25km N of Searles Valley, California",earthquake
2015-09-29T12:37:34.990Z,32.6723333,-115.6611667,11.61,2.7,ml,44,119,0.0596,0.26,ci,ci37250927,2015-09-29T23:39:57.340Z,"13km NW of Progreso, B.C., MX",earthquake
2015-09-29T12:33:42.500Z,18.0865,-66.3096,48,2.2,Md,4,176.4,0.25691817,0.15,pr,pr15272004,2015-09-29T17:22:46.306Z,"2km NE of Palmarejo, Puerto Rico",earthquake
2015-09-29T12:19:22.761Z,37.1924,-114.6005,6.7,0.9,ml,9,165.29,0.418,0.2104,nn,nn00512757,2015-09-29T14:37:38.171Z,"47km S of Caliente, Nevada",earthquake
2015-09-29T11:57:48.570Z,33.0966667,-116.4266667,7.55,1.17,ml,15,122,0.1443,0.25,ci,ci37250919,2015-09-29T12:44:10.427Z,"16km E of Julian, California",earthquake
2015-09-29T11:57:37.610Z,40.3141667,-111.3278333,-2.15,1.51,ml,13,157,0.113,0.12,uu,uu60124982,2015-09-29T16:15:20.540Z,"22km SSE of Heber, Utah",earthquake
2015-09-29T11:54:13.250Z,44.7543333,-111.0768333,11.55,-0.07,md,9,116,0.051,0.12,uu,uu60124977,2015-09-29T16:20:29.920Z,"10km NNE of West Yellowstone, Montana",earthquake
2015-09-29T11:45:32.980Z,-23.803,179.9917,529.23,4.3,mb,,103,5.73,0.66,us,us10003ire,2015-09-29T19:48:05.810Z,"South of the Fiji Islands",earthquake
2015-09-29T11:44:24.770Z,47.6166667,-122.758,15.176,0.49,ml,4,252,0.06942,0.02,uw,uw61071622,2015-09-29T23:03:04.610Z,"3km W of Chico, Washington",earthquake
2015-09-29T11:44:05.530Z,36.4515,-89.5331667,8.87,2.29,md,48,42,0.06291,0.17,nm,nm60091322,2015-09-29T19:46:41.948Z,"9km NW of Tiptonville, Tennessee",earthquake
2015-09-29T11:35:43.830Z,39.3908,143.5673,27.38,4.7,mb,,152,2.62,0.93,us,us10003ira,2015-09-29T19:38:17.813Z,"139km E of Yamada, Japan",earthquake
2015-09-29T11:28:33.600Z,33.1466667,-116.4413333,9.78,1.08,ml,42,82,0.1229,0.24,ci,ci37250895,2015-09-29T12:45:10.030Z,"14km SSW of Borrego Springs, California",earthquake
2015-09-29T11:00:06.400Z,18.9048,-67.654,24,2.7,Md,5,226.8,0.54348075,0.34,pr,pr15272003,2015-09-29T19:02:33.479Z,"74km NW of Aguadilla, Puerto Rico",earthquake
2015-09-29T10:54:41.500Z,27.7127,85.7924,10,4.2,mb,,138,0.438,1.18,us,us10003ir8,2015-09-29T18:57:15.303Z,"26km E of Nagarkot, Nepal",earthquake
2015-09-29T10:36:56.390Z,34.6453333,-116.2836667,2.6,1.77,ml,24,51,0.1153,0.16,ci,ci37250887,2015-09-29T12:45:18.070Z,"14km SW of Ludlow, California",earthquake
2015-09-29T10:35:41.630Z,33.373,-116.9688333,8.96,0.75,ml,26,62,0.05508,0.2,ci,ci37250879,2015-09-29T12:44:48.053Z,"10km W of Palomar Observatory, California",earthquake
2015-09-29T10:32:30.110Z,34.1733333,-117.2438333,2.52,1.19,ml,53,56,0.04149,0.13,ci,ci37250871,2015-09-29T22:01:00.460Z,"6km NNW of Highland, California",earthquake
2015-09-29T10:27:55.500Z,36.0231667,-117.7788333,2.12,-0.24,ml,11,60,0.01119,0.06,ci,ci37250863,2015-09-29T19:43:33.169Z,"15km NE of Little Lake, California",earthquake
2015-09-29T10:16:49.950Z,34.192,-116.4371667,5,0.7,ml,15,127,0.1091,0.16,ci,ci37250855,2015-09-29T12:45:05.374Z,"9km N of Yucca Valley, California",earthquake
2015-09-29T10:08:34.700Z,18.1916,-65.5528,26,2.4,Md,3,244.8,0.0943231,0,pr,pr15272002,2015-09-29T14:40:53.120Z,"12km ESE of Aguas Claras, Puerto Rico",earthquake
2015-09-29T10:01:20.930Z,-31.3844,-72.0854,10,4.4,mb,,125,0.807,1.16,us,us10003ir3,2015-09-29T18:03:56.346Z,"91km WNW of Illapel, Chile",earthquake
2015-09-29T09:59:22.400Z,34.1755,-117.2436667,2.83,1.52,ml,60,40,0.04041,0.14,ci,ci37250847,2015-09-29T21:54:46.900Z,"6km NNW of Highland, California",earthquake
2015-09-29T09:39:10.000Z,62.8313,-150.8123,93.9,1.4,ml,,,,0.85,ak,ak11726281,2015-09-29T17:41:09.536Z,"67km NNW of Talkeetna, Alaska",earthquake
2015-09-29T09:38:43.770Z,33.655,-116.7126667,15.87,0.32,ml,20,76,0.03526,0.06,ci,ci37250839,2015-09-29T21:42:50.026Z,"10km S of Idyllwild, California",earthquake
2015-09-29T09:33:42.000Z,62.3408,-151.1101,76.6,1.6,ml,,,,0.2,ak,ak11726277,2015-09-29T09:57:27.543Z,"51km W of Talkeetna, Alaska",earthquake
2015-09-29T09:30:54.370Z,33.5253333,-116.7298333,4.02,0.36,ml,14,85,0.04044,0.07,ci,ci37250831,2015-09-29T12:45:40.378Z,"6km WSW of Anza, California",earthquake
2015-09-29T09:30:32.320Z,38.0026667,-118.774,6.14,1.22,md,13,316,0.2764,0.08,nc,nc72532541,2015-09-29T21:55:53.360Z,"42km NNE of Mammoth Lakes, California",earthquake
2015-09-29T09:27:17.060Z,30.0248,80.3873,35,4.5,mb,,146,5.991,0.98,us,us10003iqz,2015-09-29T17:29:56.253Z,"23km NW of Dharchula, India",earthquake
2015-09-29T09:18:58.331Z,41.8627,-119.6042,5.7,1.7,ml,5,133.89,0.169,0.1049,nn,nn00512754,2015-09-29T15:43:55.958Z,"71km ESE of Lakeview, Oregon",earthquake
2015-09-29T09:16:02.000Z,62.4726,-152.1786,0,1.6,ml,,,,0.67,ak,ak11726261,2015-09-29T09:57:26.890Z,"108km W of Talkeetna, Alaska",earthquake
2015-09-29T09:12:40.260Z,34.7443,24.6091,30.92,4.9,mb,,74,1.764,1.15,us,us10003iqy,2015-09-29T09:38:00.560Z,"38km SSW of Tympakion, Greece",earthquake
2015-09-29T09:01:32.330Z,46.2058333,-122.2241667,4.813,0.18,ml,8,194,0.02398,0.06,uw,uw61071607,2015-09-29T17:13:59.890Z,"37km NNE of Amboy, Washington",earthquake
2015-09-29T08:59:38.000Z,53.3189,-164.0271,48.3,2.9,ml,,,,0.46,ak,ak11726256,2015-09-29T17:05:01.605Z,"146km SE of Akutan, Alaska",earthquake
2015-09-29T08:58:14.410Z,33.6373333,-116.696,14.24,0.46,ml,23,63,0.03653,0.08,ci,ci37250815,2015-09-29T21:40:21.920Z,"9km NNW of Anza, California",earthquake
2015-09-29T08:46:53.760Z,40.3018,143.7783,35,5,mb,,132,1.774,1.15,us,us10003iqu,2015-09-29T11:08:16.121Z,"172km ENE of Miyako, Japan",earthquake
2015-09-29T08:45:26.620Z,36.5653333,-121.1388333,9.05,1.95,md,47,57,0.04235,0.06,nc,nc72532516,2015-09-29T18:40:49.770Z,"22km NE of Soledad, California",earthquake
2015-09-29T08:33:29.800Z,35.3318333,-118.4873333,8.41,1.08,ml,10,98,0.0678,0.11,ci,ci37266157,2015-09-29T21:39:29.893Z,"22km N of Tehachapi, California",earthquake
2015-09-29T08:32:59.760Z,35.968,-117.8808333,4.01,-0.08,ml,11,67,0.04041,0.06,ci,ci37250799,2015-09-29T21:15:37.149Z,"4km NNE of Little Lake, California",earthquake
2015-09-29T08:32:08.630Z,33.9488333,-116.9315,16.07,0.72,ml,25,105,0.1341,0.15,ci,ci37250791,2015-09-29T19:27:02.090Z,"5km ENE of Beaumont, California",earthquake
2015-09-29T08:31:54.760Z,33.949,-116.9375,15.82,0.61,ml,36,105,0.09982,0.13,ci,ci37250807,2015-09-29T19:15:53.520Z,"4km ENE of Beaumont, California",earthquake
2015-09-29T08:24:59.500Z,18.3889,-65.4507,101,2.7,Md,5,198,0.17786643,0.07,pr,pr15272001,2015-09-29T16:27:33.199Z,"18km WNW of Culebra, Puerto Rico",earthquake
2015-09-29T08:21:25.000Z,61.5372,-150.6471,45.3,2.7,ml,,,,0.88,ak,ak11726246,2015-09-29T16:23:56.220Z,"36km W of Big Lake, Alaska",earthquake
2015-09-29T08:10:11.000Z,64.3142,-152.6128,0,1.5,ml,,,,0.35,ak,ak11726237,2015-09-29T08:31:04.908Z,"98km SSW of Tanana, Alaska",earthquake
2015-09-29T08:06:07.650Z,35.9683333,-117.8806667,3.79,-0.25,ml,7,108,0.04011,0.04,ci,ci37250783,2015-09-29T18:56:35.637Z,"4km NNE of Little Lake, California",earthquake
2015-09-29T07:57:40.530Z,36.0671667,-117.5861667,0.92,0.65,ml,17,74,0.07925,0.11,ci,ci37250775,2015-09-30T00:23:06.656Z,"32km ENE of Little Lake, California",earthquake
2015-09-29T07:42:40.030Z,38.8075,-115.1932,0.2,1.5,ml,6,247.9,1.004,,nn,nn00512750,2015-09-29T07:44:52.234Z,"25km ENE of Currant, Nevada",earthquake
2015-09-29T07:38:20.360Z,34.117,-116.9211667,6.28,1.36,ml,65,44,0.02639,0.12,ci,ci37250767,2015-09-30T00:21:51.770Z,"14km S of Big Bear Lake, California",earthquake
2015-09-29T07:36:25.090Z,19.2178333,-155.3993333,31.973,1.68,md,15,191,0.01964,0.06,hv,hv61048506,2015-09-29T15:46:17.190Z,"8km E of Pahala, Hawaii",earthquake
2015-09-29T07:30:13.856Z,41.8788,-119.6326,10.2,1.5,ml,5,220.21,0.142,0.1393,nn,nn00512749,2015-09-29T14:31:10.714Z,"68km ESE of Lakeview, Oregon",earthquake
2015-09-29T07:08:41.830Z,44.703,-111.016,7.91,0.76,ml,13,61,0.05,0.13,uu,uu60124972,2015-09-29T16:12:43.280Z,"8km ENE of West Yellowstone, Montana",earthquake
2015-09-29T06:41:31.940Z,46.2018333,-122.1796667,4.508,0.53,md,7,139,0.007765,0.09,uw,uw61071602,2015-09-29T17:19:51.490Z,"38km NNE of Amboy, Washington",earthquake
2015-09-29T06:36:56.370Z,33.5093333,-116.3638333,11.95,0.63,ml,19,103,0.05356,0.17,ci,ci37250759,2015-09-29T12:46:27.524Z,"18km SSW of La Quinta, California",earthquake
2015-09-29T06:33:31.090Z,33.7225,-116.7536667,16.14,0.73,ml,27,121,0.03481,0.13,ci,ci37250751,2015-09-29T21:44:22.558Z,"4km WSW of Idyllwild, California",earthquake
2015-09-29T06:03:53.990Z,44.7875,-111.2721667,13.16,-0.1,md,9,129,0.065,0.11,uu,uu60124967,2015-09-29T15:58:49.830Z,"19km NW of West Yellowstone, Montana",earthquake
